school,date,amount,sport,deal_description,is_social_media
ucla,2022,1000.0,Volleyball,Business Ownership/Creation,0
ucla,2022,1000.0,Gymnastics,Business Ownership/Creation,0
ucla,2022,1000.0,Soccer,Business Ownership/Creation,0
ucla,2022,1000.0,Softball,Business Ownership/Creation,0
ucla,2022,4980.0,Gymnastics,Social Media,1
ucla,2022,3500.0,Basketball,Social Media,1
ucla,2022,4500.0,Basketball,Camps and Lessons,0
ucla,2022,20000.0,Gymnastics,Social Media,1
ucla,2022,6000.0,Gymnastics,Social Media,1
ucla,2022,5000.0,Gymnastics,Social Media,1
ucla,2022,5000.0,Gymnastics,Not Sure,0
ucla,2022,42000.0,Gymnastics,Social Media,1
ucla,2024,200.0,Volleyball,Social Media,1
ucla,2024,350.0,Volleyball,Social Media,1
ucla,2024,210000.0,Gymnastics,Social Media,1
ucla,2024,75.0,Soccer,Royalty,0
ucla,2024,70.0,Tennis,Royalty,0
ucla,2024,100000.0,Football,Social Media,1
ucla,2024,7500.0,Baseball,Social Media,1
ucla,2024,10.8,Football,Not Sure,0
ucla,2024,450000.0,Football,Social Media,1
ucla,2024,500.0,Football,Social Media,1
ucla,2024,60.0,Basketball,Royalty,0
ucla,2024,58.0,Volleyball,Royalty,0
ucla,2024,76.0,Volleyball,Royalty,0
ucla,2024,52.0,Football,Royalty,0
ucla,2024,52.0,Football,Royalty,0
ucla,2024,94.0,Football,Royalty,0
ucla,2024,68.0,Baseball,Royalty,0
ucla,2024,84.0,Football,Royalty,0
ucla,2024,225000.0,Basketball,Social Media,1
ucla,2024,200.0,Track and Field,Social Media,1
ucla,2024,45000.0,Gymnastics,Social Media,1
ucla,2024,5250.0,Volleyball,Other,0
ucla,2024,200.0,Volleyball,Public Appearance,0
ucla,2024,150.0,Soccer,Social Media,1
ucla,2024,200.0,Rowing,Social Media,1
ucla,2024,262.49,Soccer,Royalty,0
ucla,2024,58.0,Gymnastics,Royalty,0
ucla,2024,126.0,Football,Royalty,0
ucla,2024,76.0,Basketball,Royalty,0
ucla,2024,150000.0,Basketball,Social Media,1
ucla,2024,15000.0,Basketball,Social Media,1
ucla,2024,163500.0,Basketball,Social Media,1
ucla,2024,499.0,Football,Social Media,1
ucla,2024,450.0,Soccer,Social Media,1
ucla,2024,250.0,Gymnastics,Social Media,1
ucla,2024,51.6,Football,Royalty,0
